nm_habs,cod_an
134,id_7788
227,id_2051
2005,id_5997
2179,id_2936
539,id_4549
239,id_3395
24140,id_0193
3084,id_3525
126,id_4036
1661,id_1249
5291,id_6129
40,id_5719
166,id_4677
957,id_8027
358,id_6583
69,id_0171
8107,id_1777
8893,id_6289
827,id_3582
4394,id_6477
491,id_0570
332,id_4700
12095,id_3894
102,id_1012
304,id_1712
4271,id_0927
3366,id_7397
836,id_1083
285,id_4004
498,id_1253
2230,id_6853
703,id_0528
2112,id_2564
602,id_1677
260,id_4163
282,id_1364
604,id_2368
642,id_0238
1546,id_4311
312,id_2249
250,id_3002
287,id_5393
529,id_5220
76,id_6535
175,id_3619
635,id_6776
40,id_4891
17089,id_1900
558,id_3384
136,id_6888
2978,id_3025
791,id_0159
689,id_5618
1454,id_5069
15001,id_0603
8500,id_4179
1001,id_2289
623,id_1748
147,id_5875
3811,id_3189
2065,id_6642
3459,id_7148
933,id_2600
737,id_5223
1516,id_7869
266,id_4169
897,id_2690
61,id_3205
58,id_7841
218,id_6041
202,id_3160
688,id_4733
37113,id_0519
56,id_0228
5001,id_6534
5774,id_6954
645,id_7129
395,id_6002
5137,id_5855
242,id_6821
9343,id_0235
106,id_4373
1513,id_1206
130,id_1429
1686,id_0196
9216,id_0183
130,id_8054
119,id_6650
133,id_7159
71,id_4371
2032,id_6652
8741,id_0856
1783,id_7040
644,id_5816
67,id_5234
26,id_5660
9163,id_7296
1638,id_4117
414,id_8069
305,id_3454
51,id_0709
417,id_1522
401,id_1867
5269,id_2439
317,id_7734
28,id_6219
72,id_2196
9059,id_3885
1041,id_2707
120,id_3565
277,id_7261
69,id_2766
5785,id_7902
267,id_1603
881,id_2492
270,id_0984
2017,id_3491
272,id_7254
2009,id_1355
3359,id_2759
4451,id_5643
505,id_3538
453,id_3951
2014,id_4763
2210,id_3836
230,id_2937
11958,id_5547
19,id_6284
543,id_7636
4219,id_6992
684,id_4966
127,id_8064
5338,id_7608
1633,id_1373
1512,id_1343
104,id_7669
839,id_7326
4126,id_2957
93,id_2594
117,id_4106
145,id_6058
2680,id_7848
1395,id_3501
382,id_2901
210,id_6429
54,id_3999
105,id_0912
1426,id_3928
53,id_8036
10953,id_7923
2286,id_7598
59,id_1834
3466,id_3871
1367,id_6766
195,id_4413
79,id_3146
61,id_4073
38,id_1471
32,id_4774
172,id_4374
2765,id_5805
35958,id_1099
124,id_7169
86,id_7709
147,id_4150
6410,id_4497
451,id_1189
3283,id_5542
244,id_7898
1070,id_1912
583,id_7776
175,id_1622
2050,id_3235
502,id_1924
307,id_3744
3798,id_4753
193,id_1137
286,id_2871
31532,id_4282
753,id_4472
84,id_5649
96,id_7560
179,id_2719
265491,id_0135
472,id_1451
950,id_4615
46,id_0023
849,id_8022
52,id_5216
89,id_6618
817,id_0801
72,id_2166
105,id_5314
3144,id_7416
286,id_8026
677,id_7041
812,id_6274
1170,id_1048
129,id_1669
52,id_1080
916,id_6427
1311,id_0902
2383,id_4781
2047,id_0351
84835,id_2850
9,id_2904
631,id_4990
5363,id_5841
333,id_0411
4732,id_5261
1519,id_0557
52,id_6296
1169,id_4386
309,id_7922
106,id_6972
2246,id_0931
777,id_0020
785,id_4912
15150,id_4949
129,id_0839
1016,id_2905
1922,id_5575
287,id_3275
176,id_4281
20819,id_1481
334,id_7090
2671,id_7581
102,id_3617
8333,id_6180
66,id_6552
1036,id_6319
654,id_1110
6289,id_1382
1893,id_6679
595,id_0547
785,id_6732
241,id_1127
380,id_1225
1407,id_4953
7107,id_1728
5469,id_0766
44,id_5469
23745,id_1907
788,id_6943
86,id_2584
372,id_0623
1827,id_6211
2736,id_4403
107,id_7657
255,id_1877
286,id_0918
176,id_0103
20213,id_6388
239,id_4597
4628,id_2960
2772,id_0889
109,id_4278
144,id_8097
298,id_0255
195,id_6991
1805,id_1523
291,id_5420
2293,id_3729
13211,id_4929
17850,id_3592
418,id_7697
723,id_5526
834,id_2525
252,id_0631
252,id_5585
943,id_4623
288,id_2172
1854,id_1216
224,id_7417
1725,id_3354
1606,id_4566
896,id_0469
461,id_0134
6134,id_2927
100,id_3148
2124,id_2411
1136,id_0335
113,id_4025
215,id_1827
1173,id_2791
1111,id_0913
136,id_4703
53,id_7839
472,id_7911
1552,id_7000
284,id_2409
119,id_0447
7149,id_1681
7699,id_6577
107,id_5364
1140,id_4902
517,id_2031
6214,id_1745
1674,id_8061
1583,id_1121
76,id_6490
57,id_4478
311,id_2353
17812,id_1831
195,id_5874
906,id_7059
46,id_3755
156,id_4770
2856,id_6473
130,id_1336
448,id_1091
5056,id_4462
7734,id_8106
12062,id_1883
431,id_6784
994,id_3917
1304,id_1799
1291,id_8080
524,id_0392
378,id_5788
251,id_4822
276,id_2588
1999,id_2072
725,id_4058
1537,id_4910
518,id_6551
960,id_1028
459,id_2079
5307,id_0069
145454,id_0520
3542,id_7808
4,id_6174
93,id_5260
50,id_2213
1661,id_4220
183,id_4168
108,id_5747
4081,id_4055
1616,id_7279
849,id_6145
707,id_7091
4689,id_4814
100,id_4021
1070,id_0755
890,id_5616
5045,id_5242
1707,id_6844
30,id_2375
1575,id_6964
16,id_2446
2609,id_6570
336,id_6465
15298,id_5094
2085,id_4061
1728,id_6203
148,id_2880
9614,id_6747
1457,id_6423
13518,id_0405
131,id_6955
2644,id_4818
295,id_4675
1010,id_7449
139,id_0276
1424,id_0539
16795,id_6556
1462,id_0285
514,id_0207
49,id_6741
655,id_0894
216,id_6061
1553,id_2785
211,id_2675
1199,id_5934
10159,id_4928
5959,id_1254
52,id_8096
842,id_6151
11554,id_3873
688,id_3236
311,id_3694
403,id_3186
3493,id_1166
16085,id_1531
6311,id_2729
134,id_2676
2466,id_2768
229,id_7399
143,id_2662
1488,id_5929
440,id_2975
197,id_7061
40582,id_2081
1096,id_3233
352641,id_5127
223,id_4016
1966,id_3217
109,id_5274
994,id_6479
68,id_7893
580,id_2021
306,id_1668
120,id_4879
430,id_6554
1810,id_0764
395,id_5467
111,id_4288
59,id_2135
115,id_5044
1126,id_2187
413,id_7462
56,id_5337
2608,id_6391
8305,id_5440
216,id_7954
1903,id_4293
893,id_5728
870,id_0882
200,id_6110
3522,id_7739
832,id_0589
1022,id_4126
3580,id_1021
92506,id_5529
275,id_5486
1887,id_5455
6561,id_1958
246,id_0655
3664,id_2513
599,id_6051
126,id_3656
425,id_0788
234,id_6735
314,id_6504
159,id_1413
821,id_5505
491,id_6672
3377,id_1474
2931,id_0137
686,id_7453
1081,id_5873
6435,id_2891
185,id_6500
284,id_7072
322,id_5698
51,id_4550
2257,id_0899
1397,id_3230
575,id_2018
2953,id_2209
178,id_4140
1369,id_4268
4083,id_5673
28479,id_7421
272,id_7029
90,id_3251
2150,id_7942
15118,id_4834
77,id_4244
2238,id_5323
491,id_4680
2142,id_4314
263,id_2058
52,id_1385
334,id_5048
263,id_2648
879,id_3829
200,id_5470
131,id_0568
247,id_2903
567,id_2106
552,id_4775
14862,id_0358
10563,id_1062
621,id_1621
187,id_2218
10443,id_6257
19024,id_3075
198,id_8014
912,id_6273
2986,id_6511
5408,id_6442
31343,id_3511
1218,id_7175
291,id_6331
28826,id_3399
853,id_2834
471,id_4552
7389,id_4888
26331,id_6155
1404,id_1234
1375,id_0965
542,id_3137
489,id_4010
899,id_3596
633,id_5656
2176,id_4884
142,id_6420
770,id_3628
460,id_5283
412,id_3844
2850,id_7798
13829,id_4950
760,id_1421
1205,id_4192
749,id_6142
722,id_3678
602,id_8077
3856,id_1868
974,id_0145
236,id_1915
4503,id_6742
2098,id_2458
78,id_4423
254,id_1145
38,id_3818
2030,id_4266
1805,id_1077
19350,id_4563
64067,id_1698
651,id_0968
262,id_4342
741,id_3102
1498,id_6550
430,id_3293
384,id_4391
1760,id_5102
178229,id_8108
173,id_3530
3201,id_1096
173,id_3685
1488,id_3561
734,id_4927
405,id_6164
51305,id_1140
406,id_2374
1244,id_3404
36,id_6389
479,id_2580
4455,id_4593
154,id_1178
1097,id_2769
915,id_1582
2225,id_0345
903,id_3988
734,id_5212
389,id_1628
106,id_5763
195,id_7957
113,id_7691
118,id_5450
1172,id_0715
139,id_0364
455,id_3147
244,id_3626
3385,id_2067
1186,id_7521
1125,id_3182
89,id_5848
130,id_1579
638,id_6107
384,id_2287
50170,id_2214
207,id_5770
227,id_3223
120,id_3311
137,id_1351
851,id_2798
436,id_1672
488,id_2942
32,id_5902
103265,id_3647
428,id_4502
1966,id_5504
123,id_4995
458,id_2378
274,id_2319
43,id_6681
172,id_6368
3828,id_5322
257,id_0717
302,id_7187
265,id_4076
