fecha,consumo_gas,consumo_gas_lag_1,consumo_gas_lag_15,consumo_gas_rolling_window_8,consumo_gas_rolling_window_8_std,consumo_gas_rolling_window_15_std,temperatura_rolling_window_3,temperatura_lag_14,temperatura_lag_28,velocidad_viento_rolling_window_3,velocidad_viento_rolling_window_8,velocidad_viento_rolling_window_15,es_festivo,dia_semana,festivo_previo,festivo_siguiente,semana_anyo
2018-09-01,552.8,,,,,,,,,,,,1,5,0.0,1.0,35
2018-09-02,542.74,552.8,,,,,,,,,,,1,6,1.0,1.0,35
2018-09-03,616.59,542.74,,,,,25.406944444444445,,,5.890277777777778,,,1,0,1.0,1.0,36
2018-09-04,632.25,616.59,,,,,25.688888888888886,,,6.305555555555556,,,1,1,1.0,1.0,36
2018-09-05,640.3,632.25,,,,,25.41388888888889,,,6.86388888888889,,,1,2,1.0,1.0,36
2018-09-06,646.83,640.3,,,,,24.615277777777777,,,7.329166666666667,,,1,3,1.0,1.0,36
2018-09-07,636.78,646.83,,,,,23.825694444444448,,,7.293055555555555,,,1,4,1.0,1.0,36
2018-09-08,567.18,636.78,,604.43375,42.94786338856516,,23.79236111111111,,,6.455555555555556,6.466145833333333,,1,5,1.0,1.0,36
2018-09-09,560.48,567.18,,605.39375,41.696433536249295,,24.129166666666666,,,6.233756038647343,6.574116847826087,,1,6,1.0,1.0,36
2018-09-10,630.56,560.48,,616.37125,33.623868408999485,,24.309027777777782,,,5.859903381642513,6.546422101449275,,1,0,1.0,1.0,37
2018-09-11,629.98,630.56,,618.045,33.96782174773227,,24.311111111111114,,,6.198792270531402,6.581838768115942,,1,1,1.0,1.0,37
2018-09-12,645.63,629.98,,619.7175,35.078407175925186,,24.219444444444445,,,6.302536231884058,6.572984601449276,,1,2,1.0,1.0,37
2018-09-13,651.36,645.63,,621.0999999999999,36.20532833713844,,24.25,,,6.808333333333334,6.525588768115942,,1,3,1.0,1.0,37
2018-09-14,638.99,651.36,,620.12,35.50878482854629,,24.332638888888884,,,6.675000000000001,6.336526268115942,,1,4,1.0,1.0,37
2018-09-15,568.04,638.99,,611.5275,39.042538979938286,39.64799264719943,24.300694444444446,24.68958333333333,,6.3125,6.205276268115942,6.413647342995168,1,5,1.0,1.0,37
2018-09-16,564.45,568.04,552.8,611.18625,39.49484159355496,38.53113332408085,24.4375,25.443749999999998,,5.593055555555556,6.2021512681159425,6.371980676328502,1,6,1.0,1.0,37
2018-09-17,636.26,564.45,542.74,620.65875,34.34830144999894,33.90255873192211,24.340277777777782,26.087500000000002,,5.651388888888889,6.118138586956523,6.368925120772947,1,0,1.0,1.0,38
2018-09-18,648.18,636.26,616.59,622.8612499999999,35.61544024617091,34.79724993238895,23.925694444444446,25.535416666666666,,5.704166666666667,6.1468750000000005,6.376425120772947,1,1,1.0,1.0,38
2018-09-19,651.08,648.18,632.25,625.49875,36.973324529797345,35.607985193265435,23.778472222222224,24.618750000000002,,5.763888888888889,6.0390625,6.263647342995169,1,2,1.0,1.0,38
2018-09-20,650.3,651.08,640.3,626.0825,37.37129484740164,36.08409542800185,23.86180555555556,23.691666666666666,,6.051690821256039,6.024071557971015,6.206485507246376,1,3,1.0,1.0,38
2018-09-21,642.1,650.3,646.83,624.9250000000001,36.61222590493899,35.86920403487146,24.47083333333333,23.166666666666668,,6.197524154589373,5.917821557971015,6.150096618357488,1,4,1.0,1.0,38
2018-09-22,571.34,642.1,636.78,616.46875,40.50511129563066,37.79606162400672,25.013888888888886,24.51875,,6.430857487922705,5.947509057971015,6.091207729468599,1,5,1.0,1.0,38
2018-09-23,564.94,571.34,567.18,616.08125,41.04581984545699,38.01103814620668,25.20486111111111,24.702083333333334,,6.311111111111111,6.023550724637681,6.177596618357487,1,6,1.0,1.0,38
2018-09-24,643.06,564.94,560.48,625.9075,36.021701296381224,35.124424794476816,24.98333333333333,23.70625,,6.319082125603864,6.19008152173913,6.167161835748792,1,0,1.0,1.0,39
2018-09-25,654.64,643.06,630.56,628.2049999999999,37.33840420493928,36.06092239266108,24.04375,24.525000000000002,,7.3663043478260875,6.5906023550724635,6.392487922705315,1,1,1.0,1.0,39
2018-09-26,652.86,654.64,629.98,628.7900000000001,37.73067263040584,36.80705830343391,23.229166666666668,24.427083333333332,,9.324637681159421,7.381227355072464,6.802765700483092,1,2,1.0,1.0,39
2018-09-27,658.03,652.86,645.63,629.65875,38.39144489429159,37.42436178798641,21.810227272727275,23.797916666666666,,8.968055555555555,7.391644021739131,6.700265700483092,1,3,1.0,1.0,39
2018-09-28,648.19,658.03,651.36,629.395,38.236315572651975,37.2818762556669,21.51862373737374,24.772916666666664,,8.156313131313132,7.3798357213438734,6.662083882301274,1,4,1.0,1.0,39
2018-09-29,579.6,648.19,638.99,621.5825,41.51411902680131,38.9392302856399,21.51969696969697,24.33125,24.68958333333333,6.299873737373738,7.4196084486166,6.7277404479578395,1,5,1.0,0.0,39
2018-09-30,616.7750000000001,579.6,568.04,627.2618749999999,36.45881315534595,36.020848450518756,22.121878156565657,24.208333333333332,25.443749999999998,6.892086627140976,7.5646049489459815,6.816183025911287,0,6,1.0,1.0,39
2018-10-01,653.95,616.7750000000001,564.45,638.3881250000001,27.10457999483532,32.42749970905802,22.12250946969697,24.48125,26.087500000000002,7.1038290513834,7.677104948945982,6.964238581466843,1,0,0.0,1.0,40
2018-10-02,661.52,653.95,636.26,640.695625,28.317759626563948,33.33983893539531,21.103380681818184,23.087500000000002,25.535416666666666,7.229712889767238,7.761094985177866,7.043405248133509,1,1,1.0,1.0,40
2018-10-03,664.15,661.52,648.18,641.8843750000001,29.17343623395136,34.10193020301688,20.62777777777778,23.766666666666666,24.618750000000002,6.993055555555556,7.424636651844533,7.073960803689064,1,2,1.0,1.0,40
2018-10-04,663.94,664.15,651.08,643.269375,30.019674790936175,34.7136122161789,20.292361111111113,24.73125,23.691666666666666,6.541666666666667,6.633490818511199,7.119794137022398,1,3,1.0,1.0,40
2018-10-05,653.9,663.94,650.3,642.753125,29.76399585999113,34.838971019056714,20.664583333333333,24.914583333333336,23.166666666666668,6.240277777777778,6.738178318511199,7.081122639437857,1,4,1.0,1.0,40
2018-10-06,578.63,653.9,642.1,634.058125,37.18421227363453,37.68759472861828,20.97152777777778,25.395833333333332,24.51875,6.043055555555555,6.632165060935441,7.043067083882302,1,5,1.0,1.0,40
2018-10-07,583.59,578.63,571.34,634.556875,36.36720215263628,36.412809739091045,20.780555555555555,25.304166666666664,24.702083333333334,6.530555555555556,6.719996500329382,7.1397337505489675,1,6,1.0,1.0,40
2018-10-08,667.12,583.59,564.94,640.85,37.197059023530336,32.32991982595054,19.556250000000002,24.25,23.70625,6.587500000000001,6.623958333333334,7.1364004172156354,1,0,1.0,1.0,41
2018-10-09,668.2,667.12,643.06,642.63125,38.24055081697588,33.213663951681816,18.70625,22.577083333333334,24.525000000000002,7.858333333333334,6.9151041666666675,7.350917325428195,1,1,1.0,1.0,41
